,type,GENRE,NOMBRE,source_type,source_DEF,source_EN,source_FUNCTN,source_GEN_REF,source_GP,source_NB,source_NEW,source_start,source_end,target_type,target_DEF,target_EN,target_FUNCTN,target_GEN_REF,target_GP,target_NB,target_NEW,target_start,target_end,source_id,target_id
Noreskal_1401277804400,ANAPHORE,,YES,PR,DEF_SPLE,NO,Other,SPEC,NO,SG,NO,1543,1544,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,993,994,Noreskal_1401219969721,Noreskal_1401219959385
Noreskal_1401277811545,ANAPHORE,,YES,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,1548,1549,PR,DEF_SPLE,NO,Other,SPEC,NO,SG,NO,1543,1544,Noreskal_1401219972846,Noreskal_1401219969721
Noreskal_1401277825163,ANAPHORE,,YES,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,1576,1577,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,1548,1549,Noreskal_1401219976120,Noreskal_1401219972846
Noreskal_1401277972724,ANAPHORE,,YES,N,DEF_SPLE,,OBJ,SPEC,NO,Bare,YES,2556,2569,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,2764,2765,Noreskal_1400595691600,Noreskal_1401220006481
Noreskal_1401278007419,ANAPHORE,,YES,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,1576,1577,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,4056,4057,Noreskal_1401219976120,Noreskal_1401220064329
Noreskal_1401278025078,ANAPHORE,,UNK,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,4056,4057,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,4095,4096,Noreskal_1401220064329,Noreskal_1401220068233
Noreskal_1401278027745,ANAPHORE,,UNK,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,4095,4096,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,4106,4109,Noreskal_1401220068233,Noreskal_1401220071536
Noreskal_1401278051941,ANAPHORE,,YES,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,4106,4109,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,4356,4358,Noreskal_1401220071536,Noreskal_1401220077649
Noreskal_1401278060583,ANAPHORE,,YES,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,4356,4358,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,4397,4398,Noreskal_1401220077649,Noreskal_1401220083982
Noreskal_1401278068617,ANAPHORE,,YES,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,4397,4398,PR,DEF_SPLE,NO,OBJ,SPEC,NO,SG,NO,4425,4426,Noreskal_1401220083982,Noreskal_1400598051722
Noreskal_1401278107898,DIRECTE,,YES,N,DEF_SPLE,,Other,SPEC,NO,Bare,NO,922,929,N,DEF_SPLE,,Other,SPEC,NO,Bare,NO,4449,4456,Noreskal_1400231334090,Noreskal_1400598092962
Noreskal_1401278115776,DIRECTE,,YES,N,DEF_SPLE,,Other,SPEC,YES,Bare,YES,707,714,N,DEF_SPLE,,Other,SPEC,NO,Bare,NO,922,929,Noreskal_1400230405550,Noreskal_1400231334090
Noreskal_1401278156212,DIRECTE,,YES,N,DEF_SPLE,,Other,SPEC,NO,Bare,NO,4449,4456,N,DEF_SPLE,,Other,SPEC,NO,Bare,NO,4810,4817,Noreskal_1400598092962,Noreskal_1400598241691
Noreskal_1401278335532,INDIRECTE,UNK,YES,PR,DEF_SPLE,NO,OBJ,SPEC,YES,SG,NO,4898,4899,N,Bare,,Other,SPEC,YES,Bare,NO,6946,6952,Noreskal_1400598309938,Noreskal_1401278291916
Noreskal_1401278611922,DIRECTE,,YES,N,INDEF,,Other,SPEC,YES,Bare,YES,7965,7973,N,DEF_SPLE,,Other,SPEC,YES,Bare,NO,8686,8694,Noreskal_1400601780660,Noreskal_1400701727062
Noreskal_1401278639721,DIRECTE,,YES,N,DEF_SPLE,,Other,SPEC,YES,Bare,NO,8686,8694,N,DEF_SPLE,,Other,SPEC,YES,Bare,NO,9441,9449,Noreskal_1400701727062,Noreskal_1400701966442
Noreskal_1401278658020,DIRECTE,,YES,N,DEF_SPLE,,Other,SPEC,YES,Bare,YES,9348,9357,N,DEF_SPLE,,Other,SPEC,YES,Bare,NO,9747,9756,Noreskal_1400701910160,Noreskal_1400702334568
Noreskal_1401278692418,DIRECTE,,YES,N,DEF_SPLE,,Other,SPEC,YES,Bare,NO,9818,9829,N,DEF_SPLE,,Other,SPEC,YES,Bare,NO,10016,10027,Noreskal_1400702384603,Noreskal_1400702666961
Noreskal_1401278705943,DIRECTE,,YES,N,DEF_SPLE,,Other,SPEC,YES,Bare,NO,9747,9756,N,Bare,,Other,SPEC,YES,Bare,NO,10174,10180,Noreskal_1400702334568,Noreskal_1400702978871
Noreskal_1401278711216,DIRECTE,,YES,N,DEF_SPLE,,Other,SPEC,YES,Bare,NO,10016,10027,N,DEF_SPLE,,Other,SPEC,YES,Bare,NO,10197,10208,Noreskal_1400702666961,Noreskal_1400702999870
Noreskal_1401278713556,DIRECTE,,YES,N,DEF_SPLE,,Other,SPEC,YES,Bare,NO,10197,10208,N,DEF_SPLE,,Other,SPEC,YES,Bare,NO,10298,10309,Noreskal_1400702999870,Noreskal_1400703063758
Noreskal_1401279093058,INDIRECTE,UNK,YES,N,Bare,,Other,SPEC,YES,Bare,YES,11353,11358,N,Bare,,Other,SPEC,NO,Bare,NO,11616,11630,Noreskal_1401202231521,Noreskal_1401202379500
Noreskal_1401279100406,INDIRECTE,UNK,YES,N,Bare,,Other,SPEC,NO,Bare,NO,11616,11630,N,DEF_SPLE,,SUJ,SPEC,NO,Bare,NO,11808,11817,Noreskal_1401202379500,Noreskal_1401203080373
Noreskal_1401279194240,DIRECTE,,YES,N,Bare,,Other,SPEC,YES,Bare,YES,11343,11358,N,DEF_SPLE,,Other,SPEC,YES,Bare,NO,12130,12140,Noreskal_1401202224334,Noreskal_1401203211861
Noreskal_1401279295734,DIRECTE,,YES,N,DEF_SPLE,,SUJ,SPEC,NO,Bare,NO,11808,11817,N,DEF_DEM,,SUJ,SPEC,NO,Bare,NO,12385,12397,Noreskal_1401203080373,Noreskal_1401203432678
Noreskal_1401279313518,ANAPHORE,,UNK,N,DEF_DEM,,SUJ,SPEC,NO,Bare,NO,12385,12397,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,12415,12417,Noreskal_1401203432678,Noreskal_1401203484577
Noreskal_1401279317745,ANAPHORE,,YES,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,12415,12417,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,12421,12422,Noreskal_1401203484577,Noreskal_1401203669574
Noreskal_1401279331068,ANAPHORE,,YES,N,Bare,,SUJ,SPEC,NO,Bare,YES,12301,12305,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,12560,12561,Noreskal_1401279246625,Noreskal_1401203489720
Noreskal_1401279513323,ANAPHORE,,YES,N,INDEF,,OBJ,GENE,NO,SG,YES,12591,12602,PR,DEF_SPLE,NO,Other,SPEC,YES,SG,NO,12630,12631,Noreskal_1401203494902,Noreskal_1401203508890
Noreskal_1401279523868,ANAPHORE,,YES,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,12560,12561,PR,DEF_SPLE,NO,Other,SPEC,YES,SG,NO,12580,12581,Noreskal_1401203489720,Noreskal_1401203518304
Noreskal_1401279679245,ANAPHORE,,UNK,PR,DEF_SPLE,NO,Other,SPEC,YES,SG,NO,12580,12581,PR,DEF_SPLE,NO,Other,SPEC,YES,SG,NO,12588,12590,Noreskal_1401203518304,Noreskal_1401203520136
Noreskal_1401279739730,DIRECTE,,NO,N,Bare,,Other,SPEC,NO,Bare,NO,12745,12756,N,Bare,,Other,GENE,YES,Bare,NO,13063,13069,Noreskal_1401204191759,Noreskal_1401204958568
Noreskal_1401279803753,ANAPHORE,,YES,PR,DEF_SPLE,NO,Other,SPEC,YES,SG,NO,12588,12590,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,13285,13286,Noreskal_1401203520136,Noreskal_1401205102693
Noreskal_1401279823347,ANAPHORE,,YES,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,13285,13286,PR,DEF_SPLE,NO,Other,SPEC,YES,SG,NO,13310,13311,Noreskal_1401205102693,Noreskal_1401205134741
Noreskal_1401279835078,ANAPHORE,,YES,PR,DEF_SPLE,NO,Other,SPEC,YES,SG,NO,13310,13311,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,13434,13435,Noreskal_1401205134741,Noreskal_1401205161980
Noreskal_1401279884795,ANAPHORE,,YES,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,12560,12561,N,Bare,,SUJ,SPEC,NO,Bare,NO,13709,13714,Noreskal_1401203489720,Noreskal_1401205734887
Noreskal_1401280256419,INDIRECTE,UNK,YES,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,13434,13435,N,INDEF,,ATTR,SPEC,NO,Bare,NO,13733,13742,Noreskal_1401205161980,Noreskal_1401205685524
Noreskal_1401280346571,DIRECTE,,UNK,N,INDEF,,ATTR,SPEC,NO,Bare,NO,13733,13742,N,DEF_SPLE,,Other,SPEC,NO,Bare,NO,13836,13845,Noreskal_1401205685524,Noreskal_1401205701161
Noreskal_1401280359987,ANAPHORE,,YES,N,DEF_SPLE,,Other,SPEC,NO,Bare,NO,13836,13845,PR,Bare,NO,OBJ,SPEC,NO,SG,NO,13902,13904,Noreskal_1401205701161,Noreskal_1401205717052
Noreskal_1401280369925,ANAPHORE,,YES,PR,Bare,NO,OBJ,SPEC,NO,SG,NO,13902,13904,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,13923,13925,Noreskal_1401205717052,Noreskal_1401205720166
Noreskal_1401280378489,ANAPHORE,,YES,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,13923,13925,PR,DEF_SPLE,NO,Other,SPEC,NO,SG,NO,13943,13944,Noreskal_1401205720166,Noreskal_1401205725092
Noreskal_1401280387428,ANAPHORE,,YES,PR,DEF_SPLE,NO,Other,SPEC,NO,SG,NO,13943,13944,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,13995,13996,Noreskal_1401205725092,Noreskal_1401206090020
Noreskal_1401280390564,ANAPHORE,,YES,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,13995,13996,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,14017,14018,Noreskal_1401206090020,Noreskal_1401206103534
Noreskal_1401280399222,ANAPHORE,,YES,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,14017,14018,PR,DEF_SPLE,NO,Other,SPEC,YES,SG,NO,14035,14036,Noreskal_1401206103534,Noreskal_1401206181592
Noreskal_1401280406632,ANAPHORE,,YES,PR,DEF_SPLE,NO,Other,SPEC,YES,SG,NO,14035,14036,PR,DEF_SPLE,NO,Other,SPEC,YES,SG,NO,14113,14114,Noreskal_1401206181592,Noreskal_1401206213939
Noreskal_1401280410454,ANAPHORE,,YES,PR,DEF_SPLE,NO,Other,SPEC,YES,SG,NO,14113,14114,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,14116,14117,Noreskal_1401206213939,Noreskal_1401206257881
Noreskal_1401280435086,INDIRECTE,UNK,YES,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,14116,14117,N,INDEF,,ATTR,GENE,NO,SG,NO,14230,14239,Noreskal_1401206257881,Noreskal_1401206276100
Noreskal_1401280451216,ANAPHORE,,YES,N,INDEF,,ATTR,GENE,NO,SG,NO,14230,14239,PR,DEF_SPLE,NO,Other,SPEC,YES,SG,NO,14262,14263,Noreskal_1401206276100,Noreskal_1401206290769
Noreskal_1401280458346,ANAPHORE,,YES,PR,DEF_SPLE,NO,Other,SPEC,YES,SG,NO,14262,14263,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,14271,14272,Noreskal_1401206290769,Noreskal_1401206293295
Noreskal_1401280466161,ANAPHORE,,YES,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,14271,14272,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,14287,14288,Noreskal_1401206293295,Noreskal_1401206296508
Noreskal_1401280468782,ANAPHORE,,YES,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,14287,14288,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,14300,14301,Noreskal_1401206296508,Noreskal_1401206305088
Noreskal_1401280474476,ANAPHORE,,YES,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,14300,14301,PR,DEF_SPLE,NO,Other,SPEC,YES,SG,NO,14328,14329,Noreskal_1401206305088,Noreskal_1401206330095
Noreskal_1401280481278,ANAPHORE,,YES,PR,DEF_SPLE,NO,Other,SPEC,YES,SG,NO,14328,14329,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,14337,14338,Noreskal_1401206330095,Noreskal_1401206332584
Noreskal_1401280489171,ANAPHORE,,YES,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,14337,14338,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,14470,14471,Noreskal_1401206332584,Noreskal_1401206433610
Noreskal_1401280519872,ANAPHORE,,YES,N,Bare,,Other,GENE,NO,Bare,YES,14979,14983,PR,DEF_SPLE,NO,Other,SPEC,YES,SG,NO,15085,15086,Noreskal_1401206498541,Noreskal_1401206508599
Noreskal_1401280531182,INDIRECTE,UNK,YES,N,Bare,,Other,SPEC,NO,Bare,YES,15192,15198,PR,DEF_SPLE,NO,Other,SPEC,YES,SG,NO,15085,15086,Noreskal_1401207089951,Noreskal_1401206508599
Noreskal_1401280542976,INDIRECTE,UNK,YES,N,Bare,,Other,SPEC,NO,Bare,YES,15192,15198,N,Bare,,Other,SPEC,NO,Bare,NO,15220,15245,Noreskal_1401207089951,Noreskal_1401207503428
Noreskal_1401280588918,ANAPHORE,,YES,N,Bare,,Other,SPEC,NO,Bare,NO,15220,15245,PR,Bare,NO,OBJ,SPEC,NO,SG,NO,15363,15365,Noreskal_1401207503428,Noreskal_1401207526408
Noreskal_1401281268455,ANAPHORE,,YES,PR,Bare,NO,OBJ,SPEC,NO,SG,NO,15363,15365,PR,Bare,NO,OBJ,SPEC,NO,SG,NO,15546,15547,Noreskal_1401207526408,Noreskal_1401207757502
Noreskal_1401281274555,INDIRECTE,UNK,YES,PR,Bare,NO,OBJ,SPEC,NO,SG,NO,15546,15547,N,Bare,,TOPIC,SPEC,NO,Bare,NO,15616,15622,Noreskal_1401207757502,Noreskal_1401207795659
Noreskal_1401281282791,ANAPHORE,,YES,N,Bare,,TOPIC,SPEC,NO,Bare,NO,15616,15622,PR,Bare,NO,OBJ,SPEC,NO,SG,NO,15634,15635,Noreskal_1401207795659,Noreskal_1401207802394
Noreskal_1401281289656,ANAPHORE,,YES,PR,Bare,NO,OBJ,SPEC,NO,SG,NO,15634,15635,PR,DEF_SPLE,NO,Other,SPEC,NO,SG,NO,15643,15644,Noreskal_1401207802394,Noreskal_1401207805052
Noreskal_1401281365050,ANAPHORE,,YES,N,INDEF,,Other,SPEC,NO,SG,YES,15804,15830,PR,Bare,NO,OBJ,SPEC,NO,SG,NO,15842,15843,Noreskal_1401207827225,Noreskal_1401207842164
Noreskal_1401281376392,DIRECTE,,YES,N,INDEF,,ATTR,SPEC,NO,SG,YES,15672,15679,N,INDEF,,Other,SPEC,NO,SG,NO,15795,15802,Noreskal_1401207814713,Noreskal_1401207820599
Noreskal_1401281402615,ANAPHORE,,YES,PR,Bare,NO,OBJ,SPEC,NO,SG,NO,15842,15843,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,16014,16016,Noreskal_1401207842164,Noreskal_1401218759948
Noreskal_1401281407498,ANAPHORE,,YES,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,16014,16016,PR,DEF_SPLE,NO,Other,SPEC,YES,SG,NO,16033,16034,Noreskal_1401218759948,Noreskal_1401218765134
Noreskal_1401281410337,ANAPHORE,,YES,PR,DEF_SPLE,NO,Other,SPEC,YES,SG,NO,16033,16034,PR,DEF_SPLE,NO,Other,SPEC,YES,SG,NO,16046,16047,Noreskal_1401218765134,Noreskal_1401218769331
Noreskal_1401281414315,ANAPHORE,,UNK,PR,DEF_SPLE,NO,Other,SPEC,YES,SG,NO,16046,16047,PR,DEF_SPLE,NO,Other,SPEC,NO,SG,NO,16058,16059,Noreskal_1401218769331,Noreskal_1401218773379
Noreskal_1401281425391,ANAPHORE,,YES,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,16757,16758,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,16764,16765,Noreskal_1401218792120,Noreskal_1401218795328
Noreskal_1401281430259,ANAPHORE,,YES,PR,DEF_SPLE,NO,Other,SPEC,NO,SG,NO,16058,16059,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,16757,16758,Noreskal_1401218773379,Noreskal_1401218792120
Noreskal_1401281444018,ANAPHORE,,YES,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,16764,16765,PR,DEF_SPLE,NO,Other,SPEC,YES,SG,NO,16943,16944,Noreskal_1401218795328,Noreskal_1401218816630
Noreskal_1401281448199,ANAPHORE,,YES,PR,DEF_SPLE,NO,Other,SPEC,YES,SG,NO,16943,16944,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,17091,17092,Noreskal_1401218816630,Noreskal_1401218825397
Noreskal_1401281451287,ANAPHORE,,YES,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,17091,17092,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,17106,17107,Noreskal_1401218825397,Noreskal_1401218828583
Noreskal_1401281455843,ANAPHORE,,YES,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,17106,17107,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,17229,17230,Noreskal_1401218828583,Noreskal_1401218841385
Noreskal_1401281463019,DIRECTE,,UNK,N,Bare,,Other,SPEC,NO,Bare,YES,17246,17251,N,Bare,,SUJ,SPEC,NO,Bare,NO,17256,17261,Noreskal_1401218844822,Noreskal_1401218848704
Noreskal_1401281494749,ANAPHORE,,YES,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,17229,17230,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,17468,17469,Noreskal_1401218841385,Noreskal_1401218863775
Noreskal_1401281499538,ANAPHORE,,YES,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,17468,17469,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,17558,17559,Noreskal_1401218863775,Noreskal_1401218870002
Noreskal_1401281541674,INDIRECTE,UNK,NO,N,DEF_SPLE,,Other,SPEC,NO,PL,YES,17816,17836,N,DEF_SPLE,,Other,SPEC,NO,Bare,YES,18104,18125,Noreskal_1401218890959,Noreskal_1401218912910
Noreskal_1401281547134,DIRECTE,,YES,N,Bare,,Other,SPEC,NO,Bare,YES,17825,17833,N,Bare,,Other,SPEC,NO,Bare,NO,18114,18122,Noreskal_1401218900042,Noreskal_1401218918833
Noreskal_1401281733149,DIRECTE,,YES,N,DEF_SPLE,,Other,GENE,YES,Bare,NO,19462,19471,N,DEF_SPLE,,Other,GENE,YES,Bare,NO,19493,19502,Noreskal_1401219121074,Noreskal_1401219131016
Noreskal_1401281742181,DIRECTE,,YES,N,INDEF,,OBJ,GENE,NO,SG,YES,19479,19489,N,INDEF,,OBJ,GENE,NO,SG,NO,19599,19609,Noreskal_1401219128139,Noreskal_1401219197795
Noreskal_1401281745769,DIRECTE,,YES,N,DEF_SPLE,,Other,GENE,YES,Bare,NO,19493,19502,N,DEF_SPLE,,Other,GENE,YES,Bare,NO,19613,19622,Noreskal_1401219131016,Noreskal_1401219200661
Noreskal_1401281767484,ANAPHORE,,YES,N,Bare,,Other,SPEC,YES,Bare,YES,20224,20250,PR,DEF_SPLE,NO,Other,SPEC,YES,SG,NO,20456,20457,Noreskal_1401269136339,Noreskal_1401219250026
Noreskal_1401281882254,INDIRECTE,UNK,YES,N,Bare,,SUJ,SPEC,NO,Bare,YES,20427,20437,N,Bare,,Other,SPEC,NO,Bare,NO,21444,21447,Noreskal_1401219243806,Noreskal_1401281826562
Noreskal_1401282031406,DIRECTE,,YES,N,DEF_SPLE,,Other,SPEC,NO,Bare,YES,22791,22798,N,DEF_SPLE,,SUJ,SPEC,NO,Bare,NO,22805,22813,Noreskal_1401219515272,Noreskal_1401219520590
Noreskal_1401282038254,DIRECTE,,YES,N,DEF_SPLE,,SUJ,SPEC,NO,Bare,NO,22805,22813,N,INDEF,,Other,SPEC,NO,SG,NO,22859,22866,Noreskal_1401219520590,Noreskal_1401219529826
Noreskal_1401282063854,ANAPHORE,,YES,PR,DEF_SPLE,NO,Other,SPEC,YES,SG,NO,20456,20457,PR,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,20538,20540,Noreskal_1401219250026,Noreskal_1402646071029
Noreskal_1401282078549,DIRECTE,,YES,N,INDEF,,Other,SPEC,NO,SG,NO,22859,22866,N,DEF_SPLE,,Other,SPEC,YES,Bare,NO,22926,22933,Noreskal_1401219529826,Noreskal_1401219540727
Noreskal_1401282098798,DIRECTE,,YES,N,DEF_SPLE,,Other,SPEC,YES,Bare,NO,22908,22917,N,DEF_SPLE,,Other,SPEC,YES,Bare,NO,23263,23272,Noreskal_1401219537441,Noreskal_1401219566920
Noreskal_1401282254377,ANAPHORE,,YES,N,Bare,,OBJ,SPEC,NO,Bare,NO,23256,23272,PR,Bare,NO,Other,SPEC,NO,SG,NO,23303,23304,Noreskal_1401219564357,Noreskal_1401282235438
Noreskal_1401282259603,ANAPHORE,,YES,PR,INDEF,NO,SUJ,SPEC,NO,PL,NO,23248,23250,PR,INDEF,NO,SUJ,SPEC,NO,PL,NO,23297,23299,Noreskal_1401282198435,Noreskal_1401282219230
Noreskal_1401282261459,ANAPHORE,,YES,PR,INDEF,NO,SUJ,SPEC,NO,PL,YES,23241,23243,PR,INDEF,NO,SUJ,SPEC,NO,PL,NO,23248,23250,Noreskal_1401282160605,Noreskal_1401282198435
Noreskal_1401282282426,DIRECTE,,YES,N,DEF_SPLE,,Other,SPEC,YES,Bare,NO,22926,22933,N,DEF_SPLE,,Other,SPEC,YES,Bare,NO,23469,23477,Noreskal_1401219540727,Noreskal_1401219592949
Noreskal_1401282296185,INDIRECTE,UNK,YES,PR,Bare,NO,Other,SPEC,NO,SG,NO,23303,23304,N,Bare,,Other,SPEC,NO,Bare,NO,23484,23500,Noreskal_1401282235438,Noreskal_1401219601321
Noreskal_1401282301395,DIRECTE,,YES,N,DEF_SPLE,,Other,SPEC,YES,Bare,NO,23469,23477,N,DEF_SPLE,,Other,SPEC,YES,Bare,NO,23512,23519,Noreskal_1401219592949,Noreskal_1401219611647
