,DEF,EN,FUNCTN,GEN_REF,GP,NB,NEW,end,start,type
Noreskal_1400600504145,INDEF,,Other,SPEC,NO,SG,YES,6153,6142,N
Noreskal_1400600796020,INDEF,,Other,SPEC,NO,SG,YES,6365,6347,N
Noreskal_1400600800507,Bare,,Other,SPEC,NO,BareSG,YES,6365,6361,N
Noreskal_1400601052682,DEF_SPLE,,ATTR,SPEC,NO,PL,YES,6901,6890,N
Noreskal_1400601169569,INDEF,,Other,SPEC,NO,SG,YES,6993,6985,N
Noreskal_1400601179857,Bare,,Other,SPEC,YES,BareSG,YES,7055,7046,N
Noreskal_1400601275351,Bare,,Other,SPEC,YES,SG,YES,7055,7052,N
Noreskal_1400601405238,Bare,,Other,SPEC,YES,BareSG,YES,7340,7329,N
Noreskal_1400601626579,Bare,,OBJ,SPEC,NO,BareSG,YES,7547,7534,N
Noreskal_1400601630288,DEF_SPLE,,Other,SPEC,YES,SG,YES,7547,7539,N
Noreskal_1400601780660,INDEF,,Other,SPEC,YES,SG,YES,7973,7965,N
Noreskal_1400601871775,DEF_SPLE,,Other,SPEC,YES,SG,YES,8306,8291,N
Noreskal_1400601881864,Bare,,Other,SPEC,YES,BareSG,YES,8267,8263,N
Noreskal_1400701616624,DEF_SPLE,,OBJ,SPEC,YES,SG,YES,8623,8614,N
Noreskal_1400701727062,DEF_SPLE,,Other,SPEC,YES,SG,NO,8694,8686,N
Noreskal_1400701758683,Bare,,OBJ,SPEC,NO,BareSG,YES,8926,8914,N
Noreskal_1400701807630,DEF_SPLE,,ATTR,SPEC,NO,SG,YES,9070,9058,N
Noreskal_1400701910160,DEF_SPLE,,Other,SPEC,YES,SG,YES,9357,9348,N
Noreskal_1400701966442,DEF_SPLE,,Other,SPEC,YES,SG,NO,9449,9441,N
Noreskal_1400702068811,INDEF,,Other,GENE,NO,SG,YES,9625,9615,N
Noreskal_1400702106516,Bare,,OBJ,SPEC,NO,BareSG,YES,9655,9649,N
Noreskal_1400702334568,DEF_SPLE,,Other,SPEC,YES,SG,NO,9756,9747,N
Noreskal_1400702378048,INDEF,,Other,SPEC,NO,SG,YES,9800,9778,N
Noreskal_1400702384603,Bare,,Other,SPEC,YES,BareSG,NO,9829,9818,N
Noreskal_1400702571120,Bare,,Other,SPEC,YES,SG,YES,9800,9795,N
Noreskal_1400702664068,Bare,,Other,SPEC,YES,BareSG,YES,9997,9978,N
Noreskal_1400702666961,Bare,,Other,SPEC,YES,BareSG,NO,10027,10016,N
Noreskal_1400702978871,Bare,,Other,SPEC,YES,BareSG,NO,10180,10174,N
Noreskal_1400702999870,Bare,,Other,SPEC,YES,BareSG,NO,10208,10197,N
Noreskal_1400703063758,Bare,,Other,SPEC,YES,BareSG,NO,10309,10298,N
Noreskal_1400709301643,INDEF,,ATTR,GENE,NO,SG,YES,10424,10414,N
Noreskal_1400746813978,Bare,,Other,SPEC,YES,SG,YES,4845,4839,N
Noreskal_1400746981726,INDEF,,Other,GENE,NO,SG,YES,6020,6011,N
Noreskal_1400762919917,Bare,NO,Other,SPEC,NO,SG,NO,3337,3326,PR
Noreskal_1400763647970,INDEF,,Other,SPEC,NO,SG,NO,6365,6335,N
Noreskal_1401202043952,DEF_SPLE,,Other,SPEC,NO,Bare,YES,10967,10947,N
Noreskal_1401202096852,DEF_SPLE,,Other,SPEC,YES,Bare,YES,10964,10954,N
Noreskal_1401202213048,Bare,,Other,SPEC,NO,Bare,YES,11296,11285,N
Noreskal_1401202216193,Bare,,Other,SPEC,NO,Bare,NO,11312,11301,N
Noreskal_1401202218730,DEF_SPLE,,Other,SPEC,NO,Bare,YES,11328,11314,N
Noreskal_1401202224334,Bare,,Other,SPEC,YES,Bare,YES,11358,11343,N
Noreskal_1401202231521,Bare,,Other,SPEC,YES,Bare,YES,11358,11353,N
Noreskal_1401202379500,Bare,,Other,SPEC,NO,Bare,NO,11630,11616,N
Noreskal_1401202396468,Bare,,Other,SPEC,YES,Bare,NO,11630,11626,N
Noreskal_1401203070860,INDEF,,ATTR,GENE,NO,SG,YES,11704,11692,N
Noreskal_1401203080373,DEF_SPLE,,SUJ,SPEC,NO,Bare,NO,11817,11808,N
Noreskal_1401203172021,Bare,,OBJ,GENE,NO,Bare,YES,12015,11999,N
Noreskal_1401203180780,Bare,,Other,GENE,YES,Bare,NO,12015,12010,N
Noreskal_1401203185327,Bare,,OBJ,GENE,NO,Bare,YES,12077,12063,N
Noreskal_1401203189852,Bare,,Other,GENE,YES,Bare,NO,12077,12073,N
Noreskal_1401203198344,Bare,,Other,GENE,NO,Bare,YES,12105,12101,N
Noreskal_1401203203016,Bare,,Other,GENE,NO,Bare,YES,12124,12120,N
Noreskal_1401203211861,DEF_SPLE,,Other,SPEC,YES,Bare,NO,12140,12130,N
Noreskal_1401203223971,Bare,,OBJ,GENE,NO,Bare,YES,12267,12261,N
Noreskal_1401203228129,Bare,,OBJ,GENE,NO,Bare,YES,12299,12295,N
Noreskal_1401203421182,INDEF,,SUJ,SPEC,NO,Bare,YES,12335,12326,N
Noreskal_1401203423494,INDEF,,OBJ,SPEC,NO,SG,YES,12348,12341,N
Noreskal_1401203432678,DEF_DEM,,SUJ,SPEC,NO,Bare,NO,12397,12385,N
Noreskal_1401203476220,Bare,,OBJ,SPEC,NO,Bare,YES,12581,12573,N
Noreskal_1401203479517,Bare,,OBJ,SPEC,NO,Bare,YES,12590,12584,N
Noreskal_1401203484577,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,12417,12415,PR
Noreskal_1401203489720,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,12561,12560,PR
Noreskal_1401203494902,INDEF,,OBJ,GENE,NO,SG,YES,12602,12591,N
Noreskal_1401203508890,DEF_SPLE,NO,Other,SPEC,YES,SG,NO,12631,12630,PR
Noreskal_1401203518304,DEF_SPLE,NO,Other,SPEC,YES,SG,NO,12581,12580,PR
Noreskal_1401203520136,DEF_SPLE,NO,Other,SPEC,YES,SG,NO,12590,12588,PR
Noreskal_1401203669574,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,12422,12421,PR
Noreskal_1401204181805,Bare,,Other,SPEC,NO,PL,NO,12698,12690,N
Noreskal_1401204186495,Bare,,Other,SPEC,NO,PL,NO,12720,12711,N
Noreskal_1401204191759,Bare,,Other,SPEC,NO,Bare,NO,12756,12745,N
Noreskal_1401204209539,Bare,,OBJ,SPEC,NO,Bare,NO,12830,12820,N
Noreskal_1401204258484,Bare,,Other,GENE,YES,Bare,YES,12912,12908,N
Noreskal_1401204262267,Bare,,Other,GENE,NO,Bare,NO,12901,12897,N
Noreskal_1401204268895,Bare,,OBJ,SPEC,NO,Bare,NO,12996,12992,N
Noreskal_1401204327656,Bare,,OBJ,GENE,NO,Bare,YES,13069,13053,N
Noreskal_1401204838661,Bare,NO,SUJ,SPEC,NO,PL,NO,12999,12997,PR
Noreskal_1401204958568,Bare,,Other,GENE,YES,Bare,NO,13069,13063,N
Noreskal_1401205090733,Bare,,ATTR,GENE,NO,Bare,NO,13168,13159,N
Noreskal_1401205102693,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,13286,13285,PR
Noreskal_1401205114455,Bare,,ATTR,SPEC,NO,Bare,YES,13311,13304,N
Noreskal_1401205134741,DEF_SPLE,NO,Other,SPEC,YES,SG,NO,13311,13310,PR
Noreskal_1401205152406,DEF_SPLE,,Other,SPEC,NO,Bare,NO,13354,13348,N
Noreskal_1401205156431,DEF_SPLE,,Other,SPEC,NO,Bare,NO,13408,13402,N
Noreskal_1401205161980,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,13435,13434,PR
Noreskal_1401205209745,INDEF,,Other,GENE,NO,Bare,YES,13459,13453,N
Noreskal_1401205213685,INDEF,,Other,SPEC,YES,SG,NO,13473,13464,N
Noreskal_1401205640951,Bare,,Other,GENE,NO,Bare,NO,13525,13521,N
Noreskal_1401205644765,Bare,,OBJ,GENE,NO,Bare,NO,13533,13529,N
Noreskal_1401205685524,INDEF,,ATTR,SPEC,NO,Bare,NO,13742,13733,N
Noreskal_1401205688075,Bare,NO,SUJ,SPEC,NO,SG,NO,13745,13743,PR
Noreskal_1401205692875,Bare,,Other,GENE,YES,Bare,YES,13765,13761,N
Noreskal_1401205701161,DEF_SPLE,,Other,SPEC,NO,Bare,NO,13845,13836,N
Noreskal_1401205717052,Bare,NO,OBJ,SPEC,NO,SG,NO,13904,13902,PR
Noreskal_1401205720166,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,13925,13923,PR
Noreskal_1401205725092,DEF_SPLE,NO,Other,SPEC,NO,SG,NO,13944,13943,PR
Noreskal_1401205734887,Bare,,SUJ,SPEC,NO,Bare,NO,13714,13709,N
Noreskal_1401206090020,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,13996,13995,PR
Noreskal_1401206103534,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,14018,14017,PR
Noreskal_1401206120952,INDEF,,OBJ,GENE,NO,SG,YES,14012,14004,N
Noreskal_1401206181592,DEF_SPLE,NO,Other,SPEC,NO,SG,NO,14036,14035,PR
Noreskal_1401206213939,DEF_SPLE,NO,Other,SPEC,NO,SG,NO,14114,14113,PR
Noreskal_1401206257881,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,14117,14116,PR
Noreskal_1401206276100,INDEF,,ATTR,GENE,NO,SG,NO,14239,14230,N
Noreskal_1401206290769,DEF_SPLE,NO,Other,SPEC,NO,SG,NO,14263,14262,PR
Noreskal_1401206293295,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,14272,14271,PR
Noreskal_1401206296508,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,14288,14287,PR
Noreskal_1401206305088,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,14301,14300,PR
Noreskal_1401206310389,DEF_SPLE,,OBJ,GENE,NO,PL,NO,14311,14305,N
Noreskal_1401206330095,DEF_SPLE,NO,Other,SPEC,NO,SG,NO,14329,14328,PR
Noreskal_1401206332584,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,14338,14337,PR
Noreskal_1401206339507,Bare,,OBJ,GENE,NO,SG,YES,14356,14345,N
Noreskal_1401206418576,Bare,,Other,GENE,NO,Bare,YES,14367,14358,N
Noreskal_1401206433610,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,14471,14470,PR
Noreskal_1401206481292,DEF_DEM,,Other,SPEC,NO,SG,YES,14962,14949,N
Noreskal_1401206486927,Bare,,ATTR,SPEC,NO,Bare,YES,14983,14966,N
Noreskal_1401206498541,Bare,,Other,GENE,NO,Bare,YES,14983,14979,N
Noreskal_1401206508599,DEF_SPLE,NO,Other,SPEC,YES,SG,NO,15086,15085,PR
Noreskal_1401207086332,Bare,,Other,SPEC,NO,Bare,NO,15192,15192,N
Noreskal_1401207089951,Bare,,Other,SPEC,NO,Bare,YES,15198,15192,N
Noreskal_1401207503428,Bare,,Other,SPEC,NO,Bare,NO,15245,15220,N
Noreskal_1401207526408,Bare,NO,OBJ,SPEC,NO,SG,NO,15365,15363,PR
Noreskal_1401207757502,Bare,NO,OBJ,SPEC,NO,SG,NO,15547,15546,PR
Noreskal_1401207795659,Bare,,TOPIC,SPEC,NO,Bare,NO,15622,15616,N
Noreskal_1401207802394,Bare,NO,OBJ,SPEC,NO,SG,NO,15635,15634,PR
Noreskal_1401207805052,DEF_SPLE,NO,Other,SPEC,NO,SG,NO,15644,15643,PR
Noreskal_1401207814713,INDEF,,ATTR,SPEC,NO,SG,YES,15679,15672,N
Noreskal_1401207820599,INDEF,,Other,SPEC,NO,SG,NO,15802,15795,N
Noreskal_1401207827225,INDEF,,Other,SPEC,NO,SG,YES,15830,15804,N
Noreskal_1401207842164,Bare,NO,OBJ,SPEC,NO,SG,NO,15843,15842,PR
Noreskal_1401218759948,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,16016,16014,PR
Noreskal_1401218765134,DEF_SPLE,NO,Other,SPEC,YES,SG,NO,16034,16033,PR
Noreskal_1401218769331,DEF_SPLE,NO,Other,SPEC,YES,SG,NO,16047,16046,PR
Noreskal_1401218773379,DEF_SPLE,NO,Other,SPEC,NO,SG,NO,16059,16058,PR
Noreskal_1401218792120,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,16758,16757,PR
Noreskal_1401218795328,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,16765,16764,PR
Noreskal_1401218813227,Bare,,Other,SPEC,NO,Bare,NO,16944,16937,N
Noreskal_1401218816630,DEF_SPLE,NO,Other,SPEC,YES,SG,NO,16944,16943,PR
Noreskal_1401218825397,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,17092,17091,PR
Noreskal_1401218828583,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,17107,17106,PR
Noreskal_1401218841385,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,17230,17229,PR
Noreskal_1401218844822,Bare,,Other,SPEC,NO,Bare,YES,17251,17246,N
Noreskal_1401218848704,Bare,,SUJ,SPEC,NO,Bare,NO,17261,17256,N
Noreskal_1401218863775,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,17469,17468,PR
Noreskal_1401218870002,DEF_SPLE,NO,SUJ,SPEC,NO,SG,NO,17559,17558,PR
Noreskal_1401218877454,INDEF,,Other,GENE,NO,SG,YES,17650,17642,N
Noreskal_1401218890959,DEF_SPLE,,Other,SPEC,NO,PL,YES,17836,17816,N
Noreskal_1401218900042,Bare,,Other,SPEC,NO,Bare,YES,17833,17825,N
Noreskal_1401218912910,DEF_SPLE,,Other,SPEC,NO,Bare,YES,18125,18104,N
Noreskal_1401218918833,Bare,,Other,SPEC,NO,Bare,NO,18122,18114,N
Noreskal_1401219034299,Bare,,ATTR,GENE,NO,Bare,YES,18601,18582,N
Noreskal_1401219037063,INDEF,,Other,GENE,YES,SG,YES,18601,18592,N
Noreskal_1401219045334,Bare,,Other,GENE,NO,Bare,YES,18673,18669,N
Noreskal_1401219055424,Bare,,Other,GENE,YES,Bare,YES,18836,18823,N
Noreskal_1401219066441,INDEF,,OBJ,GENE,NO,SG,YES,18903,18896,N
Noreskal_1401219078292,Bare,,Other,GENE,YES,Bare,YES,19215,19196,N
Noreskal_1401219082548,INDEF,,Other,GENE,YES,SG,YES,19215,19206,N
Noreskal_1401219090219,Bare,,OBJ,GENE,NO,Bare,YES,19236,19231,N
Noreskal_1401219093967,DEF_SPLE,,SUJ,GENE,NO,SG,YES,19265,19258,N
Noreskal_1401219107389,INDEF,,OBJ,GENE,NO,SG,YES,19438,19424,N
Noreskal_1401219115525,INDEF,,OBJ,GENE,NO,SG,YES,19458,19450,N
Noreskal_1401219121074,DEF_SPLE,,Other,GENE,YES,Bare,NO,19471,19462,N
Noreskal_1401219128139,INDEF,,OBJ,GENE,NO,SG,YES,19489,19479,N
Noreskal_1401219131016,DEF_SPLE,,Other,GENE,YES,Bare,NO,19502,19493,N
Noreskal_1401219197795,INDEF,,OBJ,GENE,NO,SG,NO,19609,19599,N
Noreskal_1401219200661,DEF_SPLE,,Other,GENE,YES,Bare,NO,19622,19613,N
Noreskal_1401219208297,INDEF,,ATTR,GENE,NO,SG,YES,19858,19852,N
Noreskal_1401219216207,Bare,,Other,SPEC,NO,Bare,NO,20107,20096,N
Noreskal_1401219226490,Bare,,Other,SPEC,YES,Bare,YES,20134,20119,N
Noreskal_1401219243806,Bare,,SUJ,SPEC,NO,Bare,YES,20437,20427,N
Noreskal_1401219247342,INDEF,NO,OBJ,SPEC,NO,SG,YES,20452,20444,PR
Noreskal_1401219250026,DEF_SPLE,NO,Other,SPEC,YES,SG,NO,20457,20456,PR
Noreskal_1401219256621,INDEF,NO,OBJ,SPEC,NO,SG,YES,20476,20459,PR
Noreskal_1401219271460,INDEF,NO,OBJ,SPEC,NO,SG,NO,20495,20478,PR
Noreskal_1401219277293,INDEF,NO,Other,GENE,NO,SG,NO,20528,20517,PR
Noreskal_1401219301605,Bare,,Other,GENE,NO,PL,YES,21115,21106,N
Noreskal_1401219322583,Bare,,Other,GENE,YES,Bare,NO,21255,21251,N
Noreskal_1401219333195,Bare,,OBJ,SPEC,NO,Bare,YES,21271,21267,N
Noreskal_1401219335869,Bare,,SUJ,SPEC,NO,PL,NO,21287,21278,N
Noreskal_1401219358321,Bare,,OBJ,SPEC,NO,Bare,YES,21454,21444,N
Noreskal_1401219364672,INDEF,,OBJ,SPEC,NO,SG,YES,21471,21464,N
Noreskal_1401219372754,Bare,,OBJ,SPEC,NO,PL,YES,21545,21533,N
Noreskal_1401219377601,INDEF,,OBJ,GENE,NO,SG,YES,21623,21612,N
Noreskal_1401219414352,INDEF,,Other,GENE,NO,PL,YES,21666,21655,N
Noreskal_1401219419744,INDEF,,Other,GENE,NO,PL,YES,21682,21671,N
Noreskal_1401219426651,INDEF,,Other,GENE,NO,PL,YES,21722,21715,N
Noreskal_1401219433421,Bare,,ATTR,SPEC,NO,Bare,YES,21765,21753,N
Noreskal_1401219443045,Bare,,Other,SPEC,NO,Bare,YES,21908,21893,N
Noreskal_1401219449832,INDEF,,OBJ,SPEC,NO,SG,YES,22100,22089,N
Noreskal_1401219459457,Bare,,Other,SPEC,NO,Bare,NO,22220,22216,N
Noreskal_1401219463242,Bare,,Other,SPEC,NO,Bare,NO,22229,22225,N
Noreskal_1401219465499,Bare,,Other,SPEC,NO,Bare,NO,22239,22236,N
Noreskal_1401219475468,Bare,,Other,SPEC,YES,Bare,NO,22416,22405,N
Noreskal_1401219479538,Bare,,Other,SPEC,NO,PL,NO,22426,22417,N
Noreskal_1401219482865,DEF_DEM,NO,OBJ,SPEC,NO,SG,YES,22437,22435,PR
Noreskal_1401219490464,Bare,,Other,GENE,NO,Bare,YES,22628,22611,N
Noreskal_1401219501255,Bare,,Other,GENE,NO,Bare,YES,22665,22650,N
Noreskal_1401219505067,INDEF,,Other,GENE,NO,Bare,YES,22697,22687,N
Noreskal_1401219507714,Bare,,Other,GENE,NO,Bare,YES,22708,22699,N
Noreskal_1401219515272,DEF_SPLE,,Other,SPEC,NO,Bare,YES,22798,22791,N
Noreskal_1401219520590,DEF_SPLE,,SUJ,SPEC,NO,Bare,NO,22813,22805,N
Noreskal_1401219523702,Bare,,Other,SPEC,NO,Bare,NO,22831,22819,N
Noreskal_1401219529826,INDEF,,Other,SPEC,NO,SG,NO,22866,22859,N
Noreskal_1401219534563,Bare,,Other,SPEC,NO,Bare,YES,22917,22901,N
Noreskal_1401219537441,DEF_SPLE,,Other,SPEC,YES,Bare,NO,22917,22908,N
Noreskal_1401219540727,DEF_SPLE,,Other,SPEC,YES,Bare,NO,22933,22926,N
Noreskal_1401219554071,INDEF,,Other,SPEC,NO,SG,YES,23128,23113,N
Noreskal_1401219557808,Bare,,Other,GENE,NO,Bare,YES,23128,23125,N
Noreskal_1401219564357,Bare,,OBJ,SPEC,NO,Bare,NO,23272,23256,N
Noreskal_1401219566920,DEF_SPLE,,Other,SPEC,YES,Bare,NO,23272,23263,N
Noreskal_1401219581869,Bare,,Other,SPEC,YES,Bare,YES,23317,23312,N
Noreskal_1401219592949,DEF_SPLE,,Other,SPEC,YES,Bare,NO,23477,23469,N
Noreskal_1401219601321,Bare,,Other,SPEC,NO,Bare,NO,23500,23484,N
Noreskal_1401219606358,DEF_SPLE,,Other,SPEC,YES,Bare,NO,23500,23491,N
Noreskal_1401219608510,Bare,NO,SUJ,SPEC,NO,SG,NO,23503,23501,PR
Noreskal_1401219611647,DEF_SPLE,,Other,SPEC,YES,Bare,NO,23519,23512,N
Noreskal_1401219621753,Bare,NO,SUJ,SPEC,NO,SG,NO,22920,22918,PR
Noreskal_1401219637042,Bare,,Other,SPEC,NO,Bare,NO,23587,23578,N
Noreskal_1401219647811,Bare,,OBJ,GENE,NO,PL,YES,23881,23872,N
Noreskal_1401219649500,DEF_SPLE,,Other,SPEC,YES,Bare,NO,23894,23885,N
Noreskal_1401219653726,DEF_SPLE,NO,OBJ,SPEC,NO,SG,YES,23871,23870,PR
Noreskal_1401219664895,DEF_DEM,,OBJ,GENE,NO,Bare,NO,24019,24006,N
Noreskal_1401219670639,Bare,,Other,SPEC,NO,Bare,YES,23999,23991,N
Noreskal_1401219680679,INDEF,,OBJ,GENE,NO,Bare,YES,24143,24136,N
Noreskal_1401219684085,DEF_SPLE,NO,Other,SPEC,YES,SG,NO,24147,24146,PR
Noreskal_1401219699982,DEF_SPLE,,Other,SPEC,YES,Bare,NO,24290,24280,N
Noreskal_1401219707570,DEF_SPLE,NO,OBJ,SPEC,NO,SG,NO,24328,24327,PR
Noreskal_1401219711381,Bare,,OBJ,SPEC,NO,Bare,NO,24338,24334,N
Noreskal_1401219718868,Bare,,Other,GENE,NO,Bare,YES,24360,24355,N
Noreskal_1401219725493,INDEF,,OBJ,GENE,NO,SG,YES,24490,24484,N
Noreskal_1401219731854,INDEF,,Other,GENE,NO,SG,YES,24506,24492,N
Noreskal_1401219741368,INDEF,,Other,GENE,NO,SG,YES,24643,24635,N
Noreskal_1401219743694,Bare,NO,SUJ,SPEC,NO,SG,NO,24646,24644,PR
Noreskal_1401219748219,DEF_SPLE,NO,OBJ,SPEC,NO,SG,NO,24656,24655,PR
Noreskal_1401219761649,INDEF,,Other,GENE,NO,SG,YES,24767,24760,N
Noreskal_1401219771313,DEF_SPLE,,Other,SPEC,YES,PL,YES,24814,24806,N
Noreskal_1401219775928,Bare,NO,Other,SPEC,YES,SG,YES,24821,24819,PR
Noreskal_1401219780123,DEF_SPLE,,SUJ,GENE,NO,Bare,NO,24855,24846,N
Noreskal_1401219788246,Bare,,SUJ,GENE,NO,Bare,YES,25011,25007,N
Noreskal_1401219791532,Bare,,OBJ,GENE,NO,Bare,YES,25032,25025,N
Noreskal_1401219794681,Bare,,OBJ,GENE,NO,Bare,NO,25040,25034,N
Noreskal_1401219803057,DEF_SPLE,,Other,SPEC,YES,Bare,NO,25097,25088,N
Noreskal_1401219817454,DEF_SPLE,,Other,SPEC,YES,Bare,YES,25372,25360,N
Noreskal_1401219820671,Bare,NO,OBJ,SPEC,NO,SG,YES,25387,25386,PR
Noreskal_1401219824080,INDEF,,OBJ,GENE,NO,SG,NO,25397,25388,N
Noreskal_1401219828593,INDEF,,Other,GENE,YES,SG,NO,25435,25426,N
